INFO  - 2016-10-29 20:32:55.550; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index/
WARN  - 2016-10-29 20:32:55.552; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-10-29 20:32:55.571; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index
INFO  - 2016-10-29 20:32:55.656; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-10-29 20:32:55.657; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-10-29 20:32:55.669; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-10-29 20:32:55.669; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-10-29 20:32:55.671; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-10-29 20:32:55.680; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-10-29 20:32:55.681; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-10-29 20:32:55.974; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-10-29 20:32:55.989; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-10-29 20:32:55.989; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-10-29 20:32:55.990; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-10-29 20:32:55.991; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-10-29 20:32:56.007; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.008; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.013; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-10-29 20:32:56.014; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.015; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-10-29 20:32:56.020; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-10-29 20:32:56.020; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-10-29 20:32:56.021; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-10-29 20:32:56.022; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-10-29 20:32:56.022; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-10-29 20:32:56.023; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-10-29 20:32:56.023; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-10-29 20:32:56.024; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-10-29 20:32:56.029; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-10-29 20:32:56.037; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-10-29 20:32:56.043; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-10-29 20:32:56.064; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-10-29 20:32:56.064; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.065; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.065; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.066; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.066; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.066; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-10-29 20:32:56.067; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
